week,scored,onsets,caught@50,caught_rule,horizon
2026-03-16,3126,7,3,2,1wk
2026-03-23,3130,5,2,1,1wk
2026-03-30,3132,5,3,1,1wk
2026-04-06,3134,7,3,2,1wk
2026-04-13,3132,10,3,2,1wk
2026-04-20,3130,9,6,4,1wk
2026-04-27,3132,7,4,2,1wk
2026-05-04,3134,5,4,1,1wk
2026-05-11,3137,5,2,2,1wk
2026-05-18,3134,7,3,2,1wk
2026-05-25,3135,4,0,0,1wk
2026-06-01,3137,3,1,2,1wk
2026-06-08,3139,3,3,0,1wk
2026-06-15,3140,8,4,4,1wk
2026-06-22,3135,3,0,1,1wk
2026-06-29,3138,5,4,3,1wk
2026-07-06,3135,5,1,1,1wk
2026-07-13,3133,12,5,5,1wk
2026-07-20,3127,10,2,1,1wk
2026-07-27,3127,16,6,3,1wk
2026-08-03,3122,14,5,1,1wk
2026-08-10,3119,28,9,2,1wk
2026-08-17,3100,15,5,2,1wk
2026-08-24,3105,20,8,0,1wk
2026-08-31,3098,9,6,2,1wk
2026-09-07,3110,19,9,1,1wk
2026-02-23,3125,39,11,8,4wk
2026-03-02,3127,35,9,7,4wk
2026-03-09,3119,22,9,6,4wk
2026-03-16,3126,20,6,6,4wk
2026-03-23,3130,24,7,8,4wk
2026-03-30,3132,25,10,7,4wk
2026-04-06,3134,24,9,7,4wk
2026-04-13,3132,22,11,5,4wk
2026-04-20,3130,20,16,7,4wk
2026-04-27,3132,20,9,5,4wk
2026-05-04,3134,19,7,5,4wk
2026-05-11,3137,18,6,5,4wk
2026-05-18,3134,15,4,3,4wk
2026-05-25,3135,14,2,3,4wk
2026-06-01,3137,15,5,6,4wk
2026-06-08,3139,15,7,5,4wk
2026-06-15,3140,17,6,6,4wk
2026-06-22,3135,19,5,5,4wk
2026-06-29,3138,28,9,7,4wk
2026-07-06,3135,35,5,5,4wk
2026-07-13,3133,40,7,5,4wk
2026-07-20,3127,52,6,2,4wk
2026-07-27,3127,60,10,4,4wk
2026-08-03,3122,63,12,2,4wk
2026-08-10,3119,56,6,2,4wk
2026-08-17,3100,42,9,3,4wk
