target_week_start,horizon,window_end,counties_scored,onsets,caught_top50,recall_top50,expected_onsets,AUROC
2026-05-04,1wk,2026-05-10,3135,8,5,0.625,6.16,0.957
2026-05-04,4wk,2026-05-31,3135,21,8,0.381,24.46,0.949
2026-05-11,1wk,2026-05-17,3136,5,4,0.8,5.41,0.989
2026-05-11,4wk,2026-06-07,3136,19,7,0.368,21.21,0.898
2026-05-18,1wk,2026-05-24,3138,6,3,0.5,5.37,0.964
2026-05-18,4wk,2026-06-14,3138,19,6,0.316,18.57,0.896
2026-05-25,1wk,2026-05-31,3135,7,3,0.429,4.69,0.9
2026-05-25,4wk,2026-06-21,3135,15,3,0.2,16.05,0.878
2026-06-01,1wk,2026-06-07,3137,4,0,0.0,4.76,0.712
2026-06-01,4wk,2026-06-28,3137,14,2,0.143,16.26,0.809
2026-06-08,1wk,2026-06-14,3139,3,1,0.333,5.03,0.954
2026-06-08,4wk,2026-07-05,3139,15,8,0.533,13.47,0.904
2026-06-15,1wk,2026-06-21,3141,3,2,0.667,3.58,0.989
2026-06-15,4wk,2026-07-12,3141,15,8,0.533,12.95,0.874
2026-06-22,1wk,2026-06-28,3142,8,4,0.5,3.36,0.837
2026-06-22,4wk,2026-07-19,3142,17,3,0.176,12.83,0.864
2026-06-29,1wk,2026-07-05,3137,3,2,0.667,2.4,0.967
2026-06-29,4wk,2026-07-26,3137,20,5,0.25,8.52,0.834
2026-07-06,1wk,2026-07-12,3139,5,3,0.6,2.72,0.973
2026-07-06,4wk,2026-08-02,3139,28,9,0.321,10.04,0.815
2026-07-13,1wk,2026-07-19,3138,6,1,0.167,2.54,0.802
2026-07-13,4wk,2026-08-09,3138,36,5,0.139,8.19,0.741
2026-07-20,1wk,2026-07-26,3136,13,5,0.385,1.99,0.835
2026-07-20,4wk,2026-08-16,3136,42,7,0.167,9.02,0.715
2026-07-27,1wk,2026-08-02,3131,11,2,0.182,3.46,0.779
2026-07-27,4wk,2026-08-23,3131,55,8,0.145,10.78,0.696
2026-08-03,1wk,2026-08-09,3133,18,6,0.333,4.2,0.853
2026-08-03,4wk,2026-08-30,3133,65,9,0.138,12.48,0.772
2026-08-10,1wk,2026-08-16,3125,15,5,0.333,8.31,0.804
2026-08-10,4wk,2026-09-06,3125,64,12,0.188,15.79,0.796
2026-08-17,1wk,2026-08-23,3119,28,9,0.321,12.74,0.854
2026-08-17,4wk,2026-09-13,3119,56,9,0.161,19.69,0.791
2026-08-24,1wk,2026-08-30,3104,16,4,0.25,19.25,0.913
2026-08-24,4wk,2026-09-20,3104,44,10,0.227,27.23,0.836
2026-08-31,1wk,2026-09-06,3108,22,11,0.5,19.13,0.925
2026-09-07,1wk,2026-09-13,3099,10,8,0.8,19.27,0.94
2026-09-14,1wk,2026-09-20,3111,19,9,0.474,14.53,0.929
