target_week_start,horizon,fips,county,state_abbr,rank,in_top50
2026-05-04,1wk,12099,Palm Beach County,FL,7,True
2026-05-04,1wk,26099,Macomb County,MI,8,True
2026-05-04,1wk,04015,Mohave County,AZ,11,True
2026-05-04,1wk,36061,New York County,NY,14,True
2026-05-04,1wk,49045,Tooele County,UT,15,True
2026-05-04,1wk,26139,Ottawa County,MI,269,False
2026-05-04,1wk,45081,Saluda County,SC,337,False
2026-05-04,1wk,42075,Lebanon County,PA,452,False
2026-05-04,4wk,12099,Palm Beach County,FL,3,True
2026-05-04,4wk,26099,Macomb County,MI,6,True
2026-05-04,4wk,04015,Mohave County,AZ,12,True
2026-05-04,4wk,36061,New York County,NY,26,True
2026-05-04,4wk,49045,Tooele County,UT,40,True
2026-05-04,4wk,06037,Los Angeles County,CA,23,True
2026-05-04,4wk,12095,Orange County,FL,64,False
2026-05-04,4wk,13121,Fulton County,GA,50,True
2026-05-04,4wk,48453,Travis County,TX,55,False
2026-05-04,4wk,42071,Lancaster County,PA,79,False
2026-05-04,4wk,38035,Grand Forks County,ND,71,False
2026-05-04,4wk,08065,Lake County,CO,41,True
2026-05-04,4wk,49051,Wasatch County,UT,191,False
2026-05-04,4wk,38017,Cass County,ND,141,False
2026-05-04,4wk,35029,Luna County,NM,227,False
2026-05-04,4wk,26139,Ottawa County,MI,164,False
2026-05-04,4wk,42043,Dauphin County,PA,265,False
2026-05-04,4wk,45081,Saluda County,SC,344,False
2026-05-04,4wk,42075,Lebanon County,PA,357,False
2026-05-04,4wk,46011,Brookings County,SD,771,False
2026-05-04,4wk,08029,Delta County,CO,662,False
2026-05-11,1wk,04013,Maricopa County,AZ,1,True
2026-05-11,1wk,38035,Grand Forks County,ND,17,True
2026-05-11,1wk,49051,Wasatch County,UT,34,True
2026-05-11,1wk,12095,Orange County,FL,46,True
2026-05-11,1wk,38017,Cass County,ND,90,False
2026-05-11,4wk,04013,Maricopa County,AZ,5,True
2026-05-11,4wk,04021,Pinal County,AZ,9,True
2026-05-11,4wk,38035,Grand Forks County,ND,64,False
2026-05-11,4wk,06037,Los Angeles County,CA,24,True
2026-05-11,4wk,49051,Wasatch County,UT,45,True
2026-05-11,4wk,12095,Orange County,FL,36,True
2026-05-11,4wk,13121,Fulton County,GA,34,True
2026-05-11,4wk,48453,Travis County,TX,39,True
2026-05-11,4wk,38017,Cass County,ND,71,False
2026-05-11,4wk,12105,Polk County,FL,104,False
2026-05-11,4wk,35029,Luna County,NM,216,False
2026-05-11,4wk,08065,Lake County,CO,323,False
2026-05-11,4wk,42071,Lancaster County,PA,198,False
2026-05-11,4wk,42011,Berks County,PA,293,False
2026-05-11,4wk,42043,Dauphin County,PA,295,False
2026-05-11,4wk,36029,Erie County,NY,693,False
2026-05-11,4wk,46011,Brookings County,SD,464,False
2026-05-11,4wk,08029,Delta County,CO,955,False
2026-05-11,4wk,45049,Hampton County,SC,2370,False
2026-05-18,1wk,06037,Los Angeles County,CA,26,True
2026-05-18,1wk,13121,Fulton County,GA,32,True
2026-05-18,1wk,26139,Ottawa County,MI,43,True
2026-05-18,1wk,48453,Travis County,TX,72,False
2026-05-18,1wk,12095,Orange County,FL,100,False
2026-05-18,1wk,08065,Lake County,CO,431,False
2026-05-18,4wk,04021,Pinal County,AZ,16,True
2026-05-18,4wk,42075,Lebanon County,PA,11,True
2026-05-18,4wk,42071,Lancaster County,PA,22,True
2026-05-18,4wk,06037,Los Angeles County,CA,18,True
2026-05-18,4wk,13121,Fulton County,GA,29,True
2026-05-18,4wk,26139,Ottawa County,MI,23,True
2026-05-18,4wk,06085,Santa Clara County,CA,72,False
2026-05-18,4wk,48453,Travis County,TX,55,False
2026-05-18,4wk,42011,Berks County,PA,134,False
2026-05-18,4wk,42043,Dauphin County,PA,228,False
2026-05-18,4wk,12095,Orange County,FL,62,False
2026-05-18,4wk,12105,Polk County,FL,157,False
2026-05-18,4wk,35029,Luna County,NM,196,False
2026-05-18,4wk,45013,Beaufort County,SC,283,False
2026-05-18,4wk,08065,Lake County,CO,349,False
2026-05-18,4wk,36029,Erie County,NY,579,False
2026-05-18,4wk,08029,Delta County,CO,1088,False
2026-05-18,4wk,46011,Brookings County,SD,703,False
2026-05-18,4wk,45049,Hampton County,SC,2340,False
2026-05-25,1wk,04021,Pinal County,AZ,16,True
2026-05-25,1wk,42071,Lancaster County,PA,23,True
2026-05-25,1wk,42075,Lebanon County,PA,30,True
2026-05-25,1wk,35029,Luna County,NM,244,False
2026-05-25,1wk,42043,Dauphin County,PA,258,False
2026-05-25,1wk,08029,Delta County,CO,631,False
2026-05-25,1wk,46011,Brookings County,SD,1016,False
2026-05-25,4wk,04021,Pinal County,AZ,11,True
2026-05-25,4wk,42071,Lancaster County,PA,60,False
2026-05-25,4wk,42075,Lebanon County,PA,53,False
2026-05-25,4wk,06085,Santa Clara County,CA,39,True
2026-05-25,4wk,12105,Polk County,FL,66,False
2026-05-25,4wk,11001,District of Columbia,DC,38,True
2026-05-25,4wk,24033,Prince George's County,MD,70,False
2026-05-25,4wk,42011,Berks County,PA,257,False
2026-05-25,4wk,35029,Luna County,NM,221,False
2026-05-25,4wk,42043,Dauphin County,PA,320,False
2026-05-25,4wk,45013,Beaufort County,SC,252,False
2026-05-25,4wk,36029,Erie County,NY,831,False
2026-05-25,4wk,08029,Delta County,CO,921,False
2026-05-25,4wk,46011,Brookings County,SD,458,False
2026-05-25,4wk,45049,Hampton County,SC,2254,False
2026-06-01,1wk,12105,Polk County,FL,84,False
2026-06-01,1wk,42011,Berks County,PA,91,False
2026-06-01,1wk,36029,Erie County,NY,561,False
2026-06-01,1wk,45049,Hampton County,SC,2887,False
2026-06-01,4wk,04013,Maricopa County,AZ,3,True
