fips5,svi_rpl,svi_pov,svi_uninsur,svi_age17,svi_minrty,svi_nohs,svi_crowd,log_dens,gop24,covid_vax
01001,0.2663,20.2,7.4,23.4,27.4,9.6,1.4,4.6036546445898,0.7335887977652831,0.45331042259571497
01003,0.3487,18.3,9.3,21.2,17.7,8.4,1.9,4.995980373760801,0.7934764602590862,0.5246109463612174
01005,0.9927,37.7,10.7,20.7,55.4,23.5,3.8,3.371059859104336,0.5741499385497747,0.46840314348213563
01007,0.8451,29.0,8.4,21.2,25.8,21.1,1.3,3.604038683353726,0.8238494179088238,0.3596945610431366
01009,0.6166,22.9,10.2,23.0,14.3,18.2,2.3,4.528373561977084,0.9077694235588972,0.325943347283229
01011,0.8985,47.4,12.2,21.1,79.4,26.6,0.8,2.8669200110366737,0.269588638589618,0.5602415602415602
01013,0.6872,33.8,11.0,22.3,49.1,12.4,0.6,3.2360734609768556,0.6140330048676244,0.40415466886055124
01015,0.8145,28.7,10.8,21.2,29.5,14.9,1.7,5.261245050065103,0.7257306780858936,0.4832269706438977
01017,0.8295,28.8,10.8,20.8,45.7,16.5,5.3,4.077874470770051,0.6171011618022103,0.3280206892403921
01019,0.406,25.6,10.2,18.9,9.3,18.1,0.7,3.834922192397691,0.879714971729533,0.3174530462666056
01021,0.5336,22.8,11.5,23.7,20.9,17.8,2.6,4.191962096582686,0.8624732388622693,0.3718150715764833
01023,0.6548,31.9,8.2,19.9,43.5,17.6,0.6,2.69927579661464,0.6199758235116349,0.6786877432679324
01025,0.8365,29.7,9.5,22.0,48.8,18.6,1.4,2.9764927324222183,0.5856878573831147,0.5190500381000762
01027,0.6223,29.1,8.1,20.5,19.9,16.7,2.1,3.1997463693815336,0.852385907536792,0.43112958065734797
01029,0.5196,27.7,10.1,22.8,7.8,17.5,2.6,3.3335527798693927,0.9203213486105624,0.2936955063715627
01031,0.6802,26.2,10.9,23.7,31.2,13.4,2.0,4.380536540838798,0.7917722664735699,0.48272897481945665
01033,0.4467,23.1,7.9,20.9,22.3,13.6,1.4,4.580717206072277,0.7341998435812447,0.4895820133596423
01035,0.5122,38.6,8.6,20.5,50.3,10.6,0.7,2.6820042611485566,0.5702148925537232,0.44907599237590123
01037,0.4808,22.2,6.2,16.1,35.8,16.5,3.7,2.825452747232847,0.7177234530175707,0.4158304417143393
01039,0.7121,30.1,10.3,21.9,17.5,14.2,1.6,3.6224292027714777,0.8638102524866106,0.3878917109773543
01041,0.685,28.4,8.5,22.9,30.1,17.9,1.1,3.1218321120022496,0.7743534148985597,0.3531077548649434
01043,0.4909,23.3,10.6,22.3,9.2,15.4,1.9,4.797086907421186,0.9055049949699366,0.38900296055773087
01045,0.7766,29.6,10.0,23.1,32.7,14.3,0.7,4.490178474682378,0.7635021097046414,0.48985194826323925
01047,0.9189,40.8,9.5,23.6,73.0,14.7,1.4,3.6928368337678856,0.33644496304939714,0.46631358210560275
01049,0.756,33.6,14.6,23.9,20.9,22.3,3.4,4.535210550810631,0.8721377292368412,0.3478528379455484
01051,0.4397,18.7,8.2,21.7,27.6,11.5,1.3,4.961314545329021,0.7624671916010499,0.476929896932606
01053,0.8473,38.3,12.3,22.7,39.8,17.7,0.5,3.685810141219732,0.7330280172413793,0.3748805721617121
01055,0.672,27.2,11.7,21.4,22.9,13.9,1.7,5.268558130452239,0.7804947460595446,0.4204052098408104
01057,0.7458,34.5,10.1,21.1,16.1,16.3,1.1,3.294492467217433,0.8624096385542168,0.35921972764078025
01059,0.7576,33.3,12.5,24.7,24.8,19.9,1.6,3.9414620214046447,0.8691697955778056,0.4478349595051336
01061,0.5822,32.0,12.1,21.9,19.2,16.6,1.6,3.858288828791523,0.8870941558441559,0.41018613680484184
01063,0.9157,50.0,13.9,22.0,82.9,18.1,0.3,2.5579972271367875,0.22025883524141363,0.522870176303785
01065,0.8826,35.9,7.0,23.4,61.6,19.4,2.6,3.17352970090329,0.4655243885587951,0.6253498054740291
01067,0.6195,25.9,9.6,20.4,30.5,18.5,1.1,3.458107422808441,0.7554042369217466,0.46253995931415287
01069,0.7175,27.8,11.7,22.9,35.1,12.4,1.3,5.2236326559102455,0.7409461217224619,0.44279480931603105
01071,0.7194,31.0,11.0,20.6,11.2,18.0,2.2,3.908218291889056,0.8596942053192856,0.5061984271491109
01073,0.7251,24.6,9.0,22.7,51.1,8.9,1.3,6.406558385736154,0.4471601275427558,0.6028458500424403
01075,0.4731,26.7,7.8,21.8,14.3,17.9,1.0,3.17622947803306,0.882146512648048,0.45005432814197754
01077,0.4919,24.4,9.5,19.4,16.6,11.2,0.9,4.957290790981063,0.7600501928707534,0.4782754046738345
01079,0.3624,27.2,9.1,21.7,23.7,17.3,1.0,3.8907312286442752,0.8136440307365528,0.4791641355849836
01081,0.6446,27.0,8.6,20.9,33.1,8.3,2.2,5.667299639878896,0.6407864323707149,0.4154987784273924
01083,0.3233,18.4,8.2,22.1,25.3,12.7,1.7,5.225454752608579,0.7220972783410841,0.3982308042258505
01085,0.9042,45.0,8.9,22.0,75.4,16.7,1.7,2.719879188130832,0.31253333333333333,0.5300226197820276
01087,0.9656,36.7,11.1,16.6,83.9,17.3,1.4,3.4825058412414904,0.21658511460211177,0.4953508966127961
01089,0.3509,17.8,7.8,21.5,36.5,7.8,1.3,6.18878373572966,0.5455514504227597,0.642054764030903
01091,0.6691,32.5,9.3,22.7,55.5,10.9,0.3,3.0269196429256167,0.5189071265323083,0.5528813020198272
01093,0.6946,30.1,11.0,21.1,9.2,19.4,2.7,3.6973178360570524,0.9109507513762833,0.3708303880978828
01095,0.6201,26.6,11.1,25.2,20.9,15.6,1.6,5.159378783907349,0.8611298672068423,0.4684729369458739
01097,0.8304,28.3,11.3,23.2,44.2,11.9,1.9,5.8220325000722255,0.5830488270626223,0.5131192371917427
01099,0.7416,34.2,11.0,21.1,46.3,16.3,1.9,3.0116099089096156,0.6162921924694778,0.4443640572999566
01101,0.929,30.0,10.6,23.6,68.4,12.0,2.4,5.6749812581267935,0.34467276613550774,0.5403954328302853
01103,0.6787,23.4,11.0,22.9,25.7,14.8,2.5,5.363009696890481,0.7654851346492307,0.445366354999624
01105,0.9214,49.2,6.6,21.1,71.6,20.4,0.4,2.5480220604702053,0.28561782579338285,0.49703014681161045
01107,0.8918,33.6,8.5,19.3,46.4,15.1,1.0,3.112241064945138,0.61730486840619,0.5138484696437531
01109,0.8002,34.0,8.9,18.9,44.7,12.1,0.9,3.9139772620480677,0.6266859711956108,0.43178111976807393
01111,0.559,27.2,8.4,20.9,25.4,18.0,1.2,3.6687640936843247,0.8258029395753946,0.33826247689463956
01113,0.8963,32.0,11.7,24.1,55.9,14.8,1.0,4.530254379225517,0.49160975609756097,0.4335501457876848
01115,0.2587,16.5,8.2,22.3,15.4,12.7,1.7,4.985138225901408,0.8229062840453397,0.40073956564482976
01117,0.1238,11.6,6.4,22.8,24.1,6.2,1.0,5.656284176861447,0.7065532624409107,0.3725092098373005
01119,0.9255,44.1,9.7,18.9,74.8,11.2,1.3,2.6737176172202686,0.2927662806151509,0.5341594914299509
01121,0.908,29.7,9.4,20.7,37.7,16.8,1.7,4.710204529372058,0.6697375598521123,0.3740528645377479
01123,0.8692,27.4,9.5,20.4,31.4,18.1,1.4,4.070235063136261,0.7494838612216124,0.3930933683454307
01125,0.651,25.9,6.7,20.4,39.5,9.4,1.7,5.172244973390586,0.6029742163260939,0.4485586682907024
01127,0.6398,28.0,12.1,22.2,12.4,17.3,1.4,4.420569135705365,0.8612595548941352,0.48355661907085845
01129,0.3217,30.2,9.2,20.6,34.7,11.7,1.3,2.7270268800600617,0.7781350482315113,0.4679652088692883
01131,0.9819,44.2,9.4,23.0,72.6,22.3,2.7,2.546297555875464,0.34204502098435713,0.5484430733635399
01133,0.6125,29.4,11.3,20.2,7.7,20.0,1.3,3.6785525714679057,0.9201805869074492,0.2240044013711964
02001,,,,,,,,,0.590787554691298,
02002,,,,,,,,,0.4979681493684789,
02003,,,,,,,,,0.4231131187652927,
02004,,,,,,,,,0.30399909624943516,
02005,,,,,,,,,0.5666102357077745,
02006,,,,,,,,,0.5841610036591741,
02007,,,,,,,,,0.7294940796555436,
02008,,,,,,,,,0.7552726581797454,
02009,,,,,,,,,0.4882764654418198,
02010,,,,,,,,,0.5170285985522725,
02011,,,,,,,,,0.5121617352848268,
02012,,,,,,,,,0.49331550802139035,
02013,0.7754,23.7,39.7,12.2,84.3,19.0,5.1,0.39726044715517456,0.49360473112364184,0.7488762361402457
02014,,,,,,,,,0.3890919314028676,
02015,,,,,,,,,0.5128376869837017,
02016,0.5033,15.4,17.2,17.0,76.6,10.5,10.2,0.7829969662262195,0.42370322441496816,0.6382676606318779
02017,,,,,,,,,0.3254021900770583,
02018,,,,,,,,,0.5821413090593844,
02019,,,,,,,,,0.4109674728940784,
02020,0.6052,15.8,10.5,23.9,44.8,5.8,4.5,5.143387205287668,0.4366116295764537,0.70028125
02021,,,,,,,,,0.4581943645773433,
02022,,,,,,,,,0.49371907118385994,
02023,,,,,,,,,0.5971420182049525,
02024,,,,,,,,,0.6671469740634006,
02025,,,,,,,,,0.6847858491503528,
02026,,,,,,,,,0.7801441677588467,
02027,,,,,,,,,0.7896880819366853,
02028,,,,,,,,,0.7520725969079095,
02029,,,,,,,,,0.7325696227533083,
02030,,,,,,,,,0.7302506741236393,
02031,,,,,,,,,0.5174981384959046,
02032,,,,,,,,,0.6652444444444444,
02033,,,,,,,,,0.7645959831854273,
02034,,,,,,,,,0.6082334549244398,
02035,,,,,,,,,0.4735991379310345,
02036,,,,,,,,,0.6142187329625995,
02037,,,,,,,,,0.5347541777670138,
02038,,,,,,,,,0.43446737311767986,
02039,,,,,,,,,0.43669250645994834,
02040,,,,,,,,,0.5534426229508197,
02050,0.9424,39.5,14.0,34.8,91.2,17.3,33.7,0.3758963450341895,,0.6847057543783314
02060,0.2332,10.5,19.1,19.1,55.6,5.0,4.6,1.0195172913617687,,1.0
02063,0.6876,10.6,14.7,21.7,29.5,5.5,5.6,0.5507391811399998,,
02066,0.5247,21.4,19.6,26.5,47.6,7.6,2.4,0.1006266703665926,,
02068,0.0353,9.3,3.0,12.9,24.8,3.3,4.0,0.15375457382204363,,0.5498330948974726
02070,0.8931,27.3,18.1,30.2,85.7,11.9,28.1,0.23487780384084053,,0.531326281529699
02090,0.4925,13.4,8.6,23.8,32.2,5.3,4.8,2.648243867262574,,0.6339146506417206
02099,,,,,,,,,0.13178294573643412,
02100,0.4594,15.0,9.1,30.2,27.2,2.3,5.2,0.635081347750285,,0.708300395256917
02105,0.6376,24.2,19.5,13.3,50.3,6.0,2.3,0.3040135905033547,,0.7136871508379888
02110,0.3528,12.3,6.9,20.6,38.2,4.6,2.9,2.555221734713792,,0.7886094952148621
02122,0.4725,19.1,12.7,22.1,22.0,5.8,4.4,1.5471713501034725,,0.49577570348163796
02130,0.5027,16.6,9.4,21.0,38.1,5.3,3.9,1.351689725224577,,0.6708869865477304
02150,0.637,15.0,12.9,24.0,54.0,8.8,11.8,1.0828444080328352,,0.6641021695645484
02158,0.8568,53.1,14.1,41.2,96.9,18.6,40.7,0.3989428531205014,,0.6864325234544142
02164,0.7926,26.9,31.5,25.5,82.9,9.2,15.3,0.041063955208192705,,0.6011306532663316
02170,0.4792,16.6,13.3,26.1,23.3,5.8,5.3,1.6860172063960435,,0.41937092053878894
02180,0.8683,35.7,14.7,34.0,86.1,11.8,31.3,0.3619620757800215,,0.7132147141143542
02185,0.7747,12.7,15.0,22.8,68.7,9.3,25.6,0.1159906314527322,,0.4003254678600488
02188,0.8734,31.3,19.2,36.2,90.4,13.9,32.7,0.19507629770912507,,0.6270830599658838
02195,0.6857,12.4,9.6,18.0,45.4,13.0,1.6,0.7715820144742406,,0.7798530312308635
02198,0.818,25.6,18.9,21.5,56.3,7.5,4.9,0.7423444099702841,,0.5418345961631469
02220,0.4442,11.7,12.3,20.2,40.1,4.8,1.3,1.3733038016521961,,0.801248086659602
02230,0.3328,13.0,9.7,15.9,23.5,7.3,3.1,1.3869864835918138,,0.738799661876585
02240,0.6755,22.2,16.4,26.8,28.2,6.3,6.2,0.244822579035374,,0.427099956477586
02261,,,,,,,,,,0.6411649641382308
02275,0.5342,16.6,16.5,22.1,44.4,12.9,1.4,0.6069903707219675,,0.5979216626698641
02282,0.3723,15.5,23.2,18.6,69.3,6.0,5.2,0.07137510769977326,,0.7875647668393783
02290,0.8807,35.4,21.0,27.2,78.2,13.0,14.5,0.03612461559813935,,0.7854684512428298
04001,0.965,47.1,23.6,26.5,81.8,16.0,12.5,1.9313140748539621,0.4040483784381217,1.0
04003,0.9325,27.0,7.7,21.1,46.3,11.1,2.5,3.0545099577865518,0.6171177359527408,0.6802862089229841
04005,0.8031,26.7,11.2,19.9,47.0,8.5,7.1,2.1716796793520015,0.399189345686161,0.8004265521759737
04007,0.847,30.6,9.8,19.4,38.8,12.9,4.4,2.5037445185003655,0.6896916621054552,0.6094079751194046
04009,0.8486,25.9,8.5,26.3,49.6,15.4,5.9,2.232139432360262,0.7429540015953204,0.6574915673198238
04011,0.3598,16.5,2.3,27.3,55.3,14.1,4.1,1.8157785491640002,0.7075413856529736,0.44862076226574016
04012,0.9195,30.9,15.2,16.2,43.9,17.4,9.2,1.5496264377685862,0.7224937260599656,0.49905249194618156
04013,0.713,19.0,11.0,23.1,46.8,10.8,4.4,6.179003964138478,0.5176011187533441,0.5927508586721315
04015,0.8489,27.1,9.1,16.5,24.5,12.2,3.1,2.837243291511803,0.7806111293320215,0.4288696914426834
04017,0.9806,38.8,14.5,25.9,58.1,14.4,9.3,2.465160998829608,0.586853525500657,0.8077782986549349
04019,0.888,24.1,9.1,20.2,49.9,10.5,3.5,4.74007849783794,0.42331089941414146,0.7188752949309591
