unit,pop
Alabama|North,123742
California|Unknown County,39538223
Georgia|Coastal Health District,658023
Idaho|Unknown County,1839106
Illinois|Metro East,519408
Illinois|Unknown County,12812508
Iowa|Central,1038892
Iowa|Eastern,1249126
Iowa|HHS District 4,214817
Iowa|HHS District 5,924674
Iowa|HHS District 6,255870
Iowa|Western,606405
Kansas|Unknown County,2937880
Kentucky|Unknown County,4505836
Louisiana|Region 9,606219
Maryland|Central Region,2796848
Maryland|National Capital Region,2029262
Maryland|Southern Maryland,376873
Maryland|Unknown County,6177224
Massachusetts|Unknown County,7029917
Minnesota|Twin Cities Metro Area,3156517
Minnesota|Unknown County,5706494
Nebraska|Unknown County,1961504
New Jersey|Unknown County,9288994
New York|Unknown County,20201249
Oregon|Unknown County,4237256
Pennsylvania|Unknown County,13002700
South Carolina|Unknown County,5118425
Tennessee|Memphis-Shelby County Region,922195
Tennessee|Mid-Cumberland Region,2122162
Tennessee|Nashville-Davidson County Region,709846
Tennessee|Upper Cumberland Region,367060
Texas|Unknown County,29145505
Utah|Bear River,199344
Utah|Central,3271616
Utah|Southeast Health District,40111
Utah|Southwest Health District,270366
Utah|Tricounty,58835
Vermont|Unknown County,643077
Virginia|Central Region,2406789
Virginia|Eastern Region,1939775
Virginia|Northern Region,2547100
Virginia|Northwest Region,1128995
Virginia|Southwest Region,634840
