fips5,STATE,ST_ABBR,COUNTY,E_TOTPOP
01001,Alabama,AL,Autauga County,58761
01003,Alabama,AL,Baldwin County,233420
01005,Alabama,AL,Barbour County,24877
01007,Alabama,AL,Bibb County,22251
01009,Alabama,AL,Blount County,59077
01011,Alabama,AL,Bullock County,10328
01013,Alabama,AL,Butler County,18981
01015,Alabama,AL,Calhoun County,116162
01017,Alabama,AL,Chambers County,34612
01019,Alabama,AL,Cherokee County,25069
01021,Alabama,AL,Chilton County,45140
01023,Alabama,AL,Choctaw County,12669
01025,Alabama,AL,Clarke County,23058
01027,Alabama,AL,Clay County,14209
01029,Alabama,AL,Cleburne County,15144
01031,Alabama,AL,Coffee County,53559
01033,Alabama,AL,Colbert County,57270
01035,Alabama,AL,Conecuh County,11576
01037,Alabama,AL,Coosa County,10329
01039,Alabama,AL,Covington County,37542
01041,Alabama,AL,Crenshaw County,13205
01043,Alabama,AL,Cullman County,88284
01045,Alabama,AL,Dale County,49455
01047,Alabama,AL,Dallas County,38326
01049,Alabama,AL,DeKalb County,71680
01051,Alabama,AL,Elmore County,87694
01053,Alabama,AL,Escambia County,36755
01055,Alabama,AL,Etowah County,103348
01057,Alabama,AL,Fayette County,16297
01059,Alabama,AL,Franklin County,32011
01061,Alabama,AL,Geneva County,26647
01063,Alabama,AL,Greene County,7706
01065,Alabama,AL,Hale County,14742
01067,Alabama,AL,Henry County,17282
01069,Alabama,AL,Houston County,107040
01071,Alabama,AL,Jackson County,52618
01073,Alabama,AL,Jefferson County,672265
01075,Alabama,AL,Lamar County,13885
01077,Alabama,AL,Lauderdale County,94329
01079,Alabama,AL,Lawrence County,33116
01081,Alabama,AL,Lee County,175126
01083,Alabama,AL,Limestone County,104199
01085,Alabama,AL,Lowndes County,10153
01087,Alabama,AL,Macon County,19198
01089,Alabama,AL,Madison County,389781
01091,Alabama,AL,Marengo County,19180
01093,Alabama,AL,Marion County,29203
01095,Alabama,AL,Marshall County,97923
01097,Alabama,AL,Mobile County,413878
01099,Alabama,AL,Monroe County,19816
01101,Alabama,AL,Montgomery County,228132
01103,Alabama,AL,Morgan County,123102
01105,Alabama,AL,Perry County,8479
01107,Alabama,AL,Pickens County,18925
01109,Alabama,AL,Pike County,32997
01111,Alabama,AL,Randolph County,22179
01113,Alabama,AL,Russell County,58849
01115,Alabama,AL,St. Clair County,91719
01117,Alabama,AL,Shelby County,223916
01119,Alabama,AL,Sumter County,12196
01121,Alabama,AL,Talladega County,81105
01123,Alabama,AL,Tallapoosa County,41251
01125,Alabama,AL,Tuscaloosa County,231558
01127,Alabama,AL,Walker County,64978
01129,Alabama,AL,Washington County,15434
01131,Alabama,AL,Wilcox County,10441
01133,Alabama,AL,Winston County,23655
02013,Alaska,AK,Aleutians East Borough,3407
02016,Alaska,AK,Aleutians West Census Area,5219
02020,Alaska,AK,Anchorage Municipality,290674
02050,Alaska,AK,Bethel Census Area,18538
02060,Alaska,AK,Bristol Bay Borough,854
02063,Alaska,AK,Chugach Census Area,7000
02066,Alaska,AK,Copper River Census Area,2614
02068,Alaska,AK,Denali Borough,2101
02070,Alaska,AK,Dillingham Census Area,4854
02090,Alaska,AK,Fairbanks North Star Borough,96299
02100,Alaska,AK,Haines Borough,2079
02105,Alaska,AK,Hoonah-Angoon Census Area,2329
02110,Alaska,AK,Juneau City and Borough,32108
02122,Alaska,AK,Kenai Peninsula Borough,59235
02130,Alaska,AK,Ketchikan Gateway Borough,13910
02150,Alaska,AK,Kodiak Island Borough,13065
02158,Alaska,AK,Kusilvak Census Area,8372
02164,Alaska,AK,Lake and Peninsula Borough,999
02170,Alaska,AK,Matanuska-Susitna Borough,108661
02180,Alaska,AK,Nome Census Area,10018
02185,Alaska,AK,North Slope Borough,10924
02188,Alaska,AK,Northwest Arctic Borough,7682
02195,Alaska,AK,Petersburg Borough,3374
02198,Alaska,AK,Prince of Wales-Hyder Census Area,5799
02220,Alaska,AK,Sitka City and Borough,8462
02230,Alaska,AK,Skagway Municipality,1303
02240,Alaska,AK,Southeast Fairbanks Census Area,6888
02275,Alaska,AK,Wrangell City and Borough,2134
02282,Alaska,AK,Yakutat City and Borough,564
02290,Alaska,AK,Yukon-Koyukuk Census Area,5355
04001,Arizona,AZ,Apache County,66054
04003,Arizona,AZ,Cochise County,125504
04005,Arizona,AZ,Coconino County,144705
04007,Arizona,AZ,Gila County,53419
04009,Arizona,AZ,Graham County,38453
04011,Arizona,AZ,Greenlee County,9483
04012,Arizona,AZ,La Paz County,16681
04013,Arizona,AZ,Maricopa County,4430871
04015,Arizona,AZ,Mohave County,214229
04017,Arizona,AZ,Navajo County,107110
04019,Arizona,AZ,Pima County,1042393
04021,Arizona,AZ,Pinal County,433338
04023,Arizona,AZ,Santa Cruz County,47838
04025,Arizona,AZ,Yavapai County,237830
04027,Arizona,AZ,Yuma County,204374
05001,Arkansas,AR,Arkansas County,17024
05003,Arkansas,AR,Ashley County,19018
05005,Arkansas,AR,Baxter County,41801
05007,Arkansas,AR,Benton County,286528
05009,Arkansas,AR,Boone County,37662
05011,Arkansas,AR,Bradley County,10461
05013,Arkansas,AR,Calhoun County,4773
05015,Arkansas,AR,Carroll County,28362
05017,Arkansas,AR,Chicot County,10234
05019,Arkansas,AR,Clark County,21469
05021,Arkansas,AR,Clay County,14537
05023,Arkansas,AR,Cleburne County,24948
05025,Arkansas,AR,Cleveland County,7548
05027,Arkansas,AR,Columbia County,22707
05029,Arkansas,AR,Conway County,20782
05031,Arkansas,AR,Craighead County,111038
05033,Arkansas,AR,Crawford County,60593
05035,Arkansas,AR,Crittenden County,47945
05037,Arkansas,AR,Cross County,16827
05039,Arkansas,AR,Dallas County,6472
05041,Arkansas,AR,Desha County,11285
05043,Arkansas,AR,Drew County,17309
05045,Arkansas,AR,Faulkner County,124611
05047,Arkansas,AR,Franklin County,17160
05049,Arkansas,AR,Fulton County,12183
05051,Arkansas,AR,Garland County,100021
05053,Arkansas,AR,Grant County,18022
05055,Arkansas,AR,Greene County,45954
05057,Arkansas,AR,Hempstead County,20037
05059,Arkansas,AR,Hot Spring County,33129
05061,Arkansas,AR,Howard County,12779
05063,Arkansas,AR,Independence County,37910
05065,Arkansas,AR,Izard County,13748
05067,Arkansas,AR,Jackson County,16784
05069,Arkansas,AR,Jefferson County,66934
05071,Arkansas,AR,Johnson County,25925
05073,Arkansas,AR,Lafayette County,6277
05075,Arkansas,AR,Lawrence County,16258
05077,Arkansas,AR,Lee County,8666
05079,Arkansas,AR,Lincoln County,13016
05081,Arkansas,AR,Little River County,12024
05083,Arkansas,AR,Logan County,21247
05085,Arkansas,AR,Lonoke County,74292
05087,Arkansas,AR,Madison County,16737
05089,Arkansas,AR,Marion County,16905
05091,Arkansas,AR,Miller County,42682
05093,Arkansas,AR,Mississippi County,40361
05095,Arkansas,AR,Monroe County,6787
05097,Arkansas,AR,Montgomery County,8555
05099,Arkansas,AR,Nevada County,8292
05101,Arkansas,AR,Newton County,7243
05103,Arkansas,AR,Ouachita County,22606
